sample_ID	sample_type	B_cell	CD4_Tcell	CD8_Tcell	Neutrophil	Macrophage	Dendritic
TCGA-B2-5635	01A	0.166386344448671	0.178153827461795	0.320587016982662	0.176032792499989	0.191857146727129	0.678254899730592
TCGA-B2-5636	11	0.0525296614090662	0.108253378180206	0	0.035650200214972	0.0266736080199384	0.19285411645705
TCGA-B2-5636	01A	0.0643039280340943	0.305331296841824	0.148154476436592	0.149417878653287	0.159140224034588	0.546399101536298
TCGA-B2-5639	01A	0.125476879625401	0.144821657765776	0.113664496313307	0.134630677439599	0.0986420577530064	0.490428881086549
TCGA-B2-5641	11	0.126845033579451	0.131212550038422	0	0.022957873815153	0.0105811465147175	0.225147206220234
TCGA-B2-5641	01A	0.23212059276876	0.177228601016792	0.482071642198444	0.148156329264352	0.150969296734958	0.872598027735
TCGA-B2-A4SR	01A	0.10570768422278	0.240792961460534	0.274899089337968	0.183458567116328	0.1472139944927	0.536301293387042
TCGA-B4-5377	01A	0.212474452408283	0.142322180164896	0.191273749609744	0.134125625447046	0.118407760555038	0.607233270856352
TCGA-B4-5378	01A	0.0195731355802925	0.152905030474988	0.167279414605483	0.123176486400811	0.120845618673991	0.302871518815216
TCGA-B4-5832	01A	0.218364922782242	0.174007302073423	0.212587527922296	0.311885620404324	0.821084287602334	0.275861748378859
TCGA-B4-5834	01A	0.0637012093924084	0.136936859556097	0.367413067081101	0.133632641741308	0.0906206499462053	0.48362534936902
TCGA-B4-5835	01A	0.0731027122608957	0.0658094966190082	0.0267975638222991	0.0574634240257831	0.189682097518147	0.365349850473742
TCGA-B4-5836	01A	0.167185697538604	0.0443381387509927	0.45612471205602	0.166029342486503	0.129066884822288	0.60483752812694
TCGA-B4-5838	01A	0.133844504033589	0.0792026035076749	0.128060666979826	0.0788135452017161	0.0543326896583877	0.401840140395276
TCGA-B4-5843	01A	0.104250427175285	0.114568600050798	0.156807067909026	0.0959274937795553	0.147443105610156	0.377271265820593
TCGA-B4-5844	01A	0.0775302999569526	0.153812317681381	0.306824565604166	0.167599184841311	0.0670279170594521	0.424827260671699
TCGA-B8-4143	01A	0.0476918777884289	0.116532151475858	0.537110590363717	0.226606276917471	0.096029261389209	0.566520269800607
TCGA-B8-4146	01A	0.22325218172424	0.136252216771074	0.431679987750601	0.246708382551854	0.382403812903075	0.618556187418921
TCGA-B8-4148	01A	0.0875244749436052	0.271213045390844	0.715851396189494	0.313887389849206	0.178823539593538	0.778824156856501
TCGA-B8-4151	01A	0.0938663645909071	0.0219502198068282	0.0384601962829581	0.0430014926707744	7.64868161745209e-05	0.277832570573534
TCGA-B8-4153	01A	0.019094736754074	0.0768791965729587	0.0897262630980765	0.0532828189798042	0	0.202541571726744
TCGA-B8-4154	01A	0.0847545677185856	0	0.261726981738984	0.0555887153806088	0	0.428815458480494
TCGA-B8-4619	11	0.0380451824084497	0.0265810871921995	0	0.00412019259210128	0	0.119562483932191
TCGA-B8-4619	01A	0.00135718121263556	0.0523415677047879	0	0.0143034757965186	0	0.103971353209244
TCGA-B8-4620	11	0.11104314612752	0.194847707453826	0.0922378168994079	0.133164678364763	0.162777864673166	0.484998087037248
TCGA-B8-4620	01A	0.034668461022695	0.115125498232721	0.0536667895192468	0.154369524811583	0.090751912790083	0.458140294234254
TCGA-B8-4621	01A	0.0846353008225691	0.0667351952166089	0	0.0964110049888398	0.159323474997147	0.297274615553432
TCGA-B8-4622	11	0.145541924730271	0.0816581066705453	0.0544719539550168	0.033144237065606	0.0779607361326233	0.338773025064023
TCGA-B8-4622	01A	0.147999015384152	0.143006212700409	0.229971292943341	0.136875137639182	0.177432119632863	0.594814229805421
TCGA-B8-5158	01A	0.106249017368605	0.133274874704811	0.189981108075319	0.208238604685813	0.117591976070268	0.620237028356153
TCGA-B8-5159	01A	0.131967669218595	0.0854913795849578	0.256761717576758	0.113461336067303	0.0794774144902496	0.390686996293447
TCGA-B8-5162	01A	0.29442750314122	0.211548526976641	0.622401099696396	0.257621037821936	0.600807178926496	0.889218577796702
TCGA-B8-5163	01A	0.282182039059232	0.228882237028631	0.531031621341774	0.205498957854825	0.299497776955722	1.07409708205508
TCGA-B8-5164	01A	0.3229684827984	0.183296067977018	0.913579942745281	0.21417515605165	0.26884687452157	1.37586426228959
TCGA-B8-5165	01A	0.057892126395363	0.185441319516005	0.236861653960841	0.115074399580386	0.148948549359978	0.413101797820134
TCGA-B8-5545	01A	0.137365007863447	0.218856146384326	0.255854179721398	0.169996746540628	0.374595639515919	0.712717112670293
TCGA-B8-5546	01A	0.0107986185341845	0.102378993557988	0	0	0	0.266666529242685
TCGA-B8-5549	11	0.130079556077481	0.127471370857072	0.018656926678247	0.0148317524554546	0.0336479061545993	0.24610942501407
TCGA-B8-5549	01A	0.0558507652648689	0.125406757499657	0.254208364787318	0.115043726726792	0.127521169947816	0.417643253206511
TCGA-B8-5550	01A	0.151633600929464	0.108026067798771	0.135153487784451	0.103202950050202	0.139988551349097	0.574284161144432
TCGA-B8-5551	01A	0.280396852268016	0.390983428949471	0.511448243387657	0.342451080962295	0.463417084389198	1.37712000980773
TCGA-B8-5552	11	0.220491793835413	0.276875862682556	0.24998309804841	0.226092429897088	0.461711865192199	0.639746025663151
TCGA-B8-5552	01A	0.135938662241896	0.309722174130659	0.314092617836449	0.182547726543084	0.295061690036386	0.702446325013863
TCGA-B8-5553	01A	0.149404436563075	0.152672047921549	0.42234307831268	0.216683966190825	0.29890462585297	0.654801637412192
TCGA-B8-A54D	01A	0.199671816894888	0.135476860826321	0.499825152953975	0.176835745238835	0.265786179624767	0.527682596154302
TCGA-B8-A54E	01A	0.21353790171736	0.0605779624090211	0.116181681561947	0	0.162094237630454	0.193443333832988
TCGA-B8-A54F	01A	0.0401659057296393	0.187069581231879	0.0862500191195899	0.154359095144019	0.444703728511963	0.268342290979386
TCGA-B8-A54G	01A	0.488422241715089	0.173051129437905	0.807753944118505	0.19630983064394	0.256966747121547	1.64311435203345
TCGA-B8-A54H	01A	0.109675800931096	0.203777260291378	0.303983620088545	0.103261812167987	0	0.515501202042847
TCGA-B8-A54I	01A	0.375327236331359	0.101518595839369	0	0.151149207831	0.0401972559916968	0.220431014398211
TCGA-B8-A54J	01A	0.0651480953553221	0.183947838371463	0.372939903324952	0.154437745874214	0.0474837854533767	0.491401492598279
TCGA-B8-A54K	01A	0.0391481419768148	0.112112893746715	0.0232014186256636	0.0385801086142374	0	0.214397119048268
